id,name,category,region,status,reason,image_url,image_source,source_title,url_title,score,non_food_keyword,prev_url,prev_title,prev_url_reachable,license,flags
899,Sindhi Karel,Bread,Sindh,LIKELY_WRONG,no title/name token overlap; reachability UNVERIFIED (probe hit Wikimedia 429 rate-limit),https://upload.wikimedia.org/wikipedia/commons/6/65/Haagalakaayi_%28Kannada-_%E0%B2%B9%E0%B2%BE%E0%B2%97%E0%B2%B2%E0%B2%95%E0%B2%BE%E0%B2%AF%E0%B2%BF%29_%286781775067%29.jpg,Wikimedia Commons via Openverse (Haagalakaayi (Kannada- ಹಾಗಲಕಾಯಿ) (6781775067)),,Haagalakaayi (Kannada- ಹಾಗಲಕಾಯಿ) (6781775067),0,,https://upload.wikimedia.org/wikipedia/commons/6/65/Haagalakaayi_%28Kannada-_%E0%B2%B9%E0%B2%BE%E0%B2%97%E0%B2%B2%E0%B2%95%E0%B2%BE%E0%B2%AF%E0%B2%BF%29_%286781775067%29.jpg,Haagalakaayi (Kannada- ಹಾಗಲಕಾಯಿ) (6781775067),,by-sa,unrelated-title;probe-ratelimited
494,Sindhi Kheer,Dessert,Sindh,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (Kheer ★),,,,,,,,,no-candidate
898,Sindhi Koki,Bread,Sindh,LIKELY_WRONG,no title/name token overlap; reachability UNVERIFIED (probe hit Wikimedia 429 rate-limit),https://upload.wikimedia.org/wikipedia/commons/4/41/Lachha-paratha.jpg,Wikimedia Commons via Openverse (koki ★),,Lachha-paratha,0,,,,,,unrelated-title;probe-ratelimited
497,Sindhi Laddu,Dessert,Sindh,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,"Wikimedia Commons via Openverse (Besan laddu in West Bengal, India, photographed on May 9, 2024 ★)",,,,,,,,,no-candidate
174,Sindhi Mutton Biryani,Rice,Sindh,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (Awadhi mutton biryani ★),,,,,,,,,no-candidate
310,Sindhi Mutton Karahi,Curry & Kebab,Sindh,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (Mutton Karahi 2 ★),,,,,,,,,no-candidate
870,Sindhi Naan,Bread,Sindh,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (File:Amritsari Aloo Naan Thali.jpg ★),,,,,,,,,no-candidate
73,Sindhi Okra,Vegetable,Sindh,GOOD,url reachable; title overlaps name; reachability UNVERIFIED (probe hit Wikimedia 429 rate-limit),https://upload.wikimedia.org/wikipedia/commons/9/95/Hong_Kong_Okra_Aug_25_2012.JPG,Wikimedia Commons via Openverse (Hong Kong Okra Aug 25 2012 ★),,Hong Kong Okra Aug 25 2012,0.5,,,,,,probe-ratelimited
879,Sindhi Paratha,Bread,Sindh,MISSING_NO_CANDIDATE,source present but no Pass-1 URL recorded,,Wikimedia Commons via Openverse (Tapenade and green olives on aloo gobi paratha - Massachusetts ★),,,,,,,,,no-candidate
499,Sindhi Pedu,Dessert,Sindh,LIKELY_WRONG,no title/name token overlap; reachability UNVERIFIED (probe hit Wikimedia 429 rate-limit),https://upload.wikimedia.org/wikipedia/commons/0/05/Indian_Sweet_Dessert_Peda_in_a_glass_plate.jpg,Wikimedia Commons via Openverse (pedu ★),,Indian Sweet Dessert Peda in a glass plate,0,,,,,,unrelated-title;probe-ratelimited
